統計年度,資料來源,分析標的,分析內容,統計項目,統計項目說明,分析結果值,分析結果單位
109,運動現況調查,民眾喜好運動項目,排球,縣市,花蓮縣,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,臺東縣,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,澎湖縣,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,金門縣,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,連江縣,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,整體,0.2,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,新北市,0.4,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,臺北市,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,桃園市,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,臺中市,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,臺南市,0.6,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,高雄市,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,基隆市,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,新竹縣,1.4,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,新竹市,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,苗栗縣,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,彰化縣,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,南投縣,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,雲林縣,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,嘉義縣,0.9,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,嘉義市,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,屏東縣,0.6,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,宜蘭縣,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,花蓮縣,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,臺東縣,1.2,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,澎湖縣,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,金門縣,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,縣市,連江縣,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,整體,0.2,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,新北市,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,臺北市,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,桃園市,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,臺中市,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,臺南市,0.7,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,高雄市,0.2,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,基隆市,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,新竹縣,1.4,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,新竹市,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,苗栗縣,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,彰化縣,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,南投縣,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,雲林縣,0.5,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,嘉義縣,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,嘉義市,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,屏東縣,0.4,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,宜蘭縣,0.7,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,花蓮縣,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,臺東縣,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,澎湖縣,1.8,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,金門縣,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,縣市,連江縣,0,百分比
109,運動現況調查,民眾喜好運動項目,爬山,縣市,宜蘭縣,1,百分比
109,運動現況調查,民眾喜好運動項目,爬山,縣市,花蓮縣,4.4,百分比
109,運動現況調查,民眾喜好運動項目,爬山,縣市,臺東縣,0,百分比
109,運動現況調查,民眾喜好運動項目,爬山,縣市,澎湖縣,4.6,百分比
109,運動現況調查,民眾喜好運動項目,爬山,縣市,金門縣,3.2,百分比
109,運動現況調查,民眾喜好運動項目,爬山,縣市,連江縣,0,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,整體,3.4,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,新北市,3.3,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,臺北市,5.4,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,桃園市,4.8,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,臺中市,1.9,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,臺南市,0.9,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,高雄市,5.2,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,基隆市,1.6,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,新竹縣,5.6,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,新竹市,3.8,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,苗栗縣,1.9,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,彰化縣,2.6,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,南投縣,3.3,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,雲林縣,3.5,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,嘉義縣,3.5,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,嘉義市,1.5,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,屏東縣,2.7,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,宜蘭縣,2,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,花蓮縣,5.4,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,臺東縣,3.2,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,澎湖縣,5.8,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,金門縣,4.8,百分比
109,運動現況調查,民眾喜好運動項目,騎自行車,縣市,連江縣,0,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,整體,4.9,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,新北市,4.4,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,臺北市,5,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,桃園市,4.6,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,臺中市,4.8,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,臺南市,6.4,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,高雄市,5.9,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,基隆市,4.3,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,新竹縣,6.3,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,新竹市,2.7,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,苗栗縣,5.1,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,彰化縣,2.7,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,南投縣,4.4,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,雲林縣,3.5,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,嘉義縣,3.3,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,嘉義市,6.7,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,屏東縣,3,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,宜蘭縣,3.7,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,花蓮縣,11,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,臺東縣,12.9,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,澎湖縣,4.4,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,金門縣,5.7,百分比
109,運動現況調查,民眾喜好運動項目,游泳,縣市,連江縣,0,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,整體,3.3,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,新北市,3.8,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,宜蘭縣,0.5,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,花蓮縣,3.4,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,臺東縣,2.2,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,澎湖縣,3.6,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,金門縣,2.6,百分比
109,運動現況調查,民眾喜好運動項目,羽球,縣市,連江縣,0,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,整體,0.8,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,新北市,0.7,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,臺北市,0.3,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,桃園市,1,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,臺中市,2.5,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,臺南市,0,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,高雄市,0.5,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,基隆市,1.3,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,新竹縣,0,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,新竹市,1,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,苗栗縣,0.3,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,彰化縣,2.4,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,南投縣,0.4,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,雲林縣,0,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,嘉義縣,0.4,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,嘉義市,0,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,屏東縣,0,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,宜蘭縣,3.3,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,花蓮縣,0,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,臺東縣,0.5,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,澎湖縣,0,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,金門縣,0,百分比
109,運動現況調查,民眾喜好運動項目,桌球,縣市,連江縣,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,整體,0.2,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,新北市,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,臺北市,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,桃園市,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,臺中市,0.3,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,臺南市,0.6,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,高雄市,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,基隆市,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,新竹縣,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,新竹市,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,苗栗縣,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,彰化縣,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,南投縣,3.1,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,雲林縣,1.1,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,嘉義縣,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,嘉義市,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,縣市,屏東縣,0,百分比
109,運動現況調查,民眾喜好運動項目,羽球,身體質量指數,過輕,4.6,百分比
109,運動現況調查,民眾喜好運動項目,羽球,身體質量指數,標準,2.1,百分比
109,運動現況調查,民眾喜好運動項目,羽球,身體質量指數,過重,4.4,百分比
109,運動現況調查,民眾喜好運動項目,羽球,身體質量指數,肥胖,3.3,百分比
109,運動現況調查,民眾喜好運動項目,桌球,身體質量指數,整體,0.8,百分比
109,運動現況調查,民眾喜好運動項目,桌球,身體質量指數,過輕,2.8,百分比
109,運動現況調查,民眾喜好運動項目,桌球,身體質量指數,標準,0.9,百分比
109,運動現況調查,民眾喜好運動項目,桌球,身體質量指數,過重,0.6,百分比
109,運動現況調查,民眾喜好運動項目,桌球,身體質量指數,肥胖,0.6,百分比
109,運動現況調查,民眾喜好運動項目,排球,身體質量指數,整體,0.2,百分比
109,運動現況調查,民眾喜好運動項目,排球,身體質量指數,過輕,0.9,百分比
109,運動現況調查,民眾喜好運動項目,排球,身體質量指數,標準,0.2,百分比
109,運動現況調查,民眾喜好運動項目,排球,身體質量指數,過重,0.3,百分比
109,運動現況調查,民眾喜好運動項目,排球,身體質量指數,肥胖,0.1,百分比
109,運動現況調查,民眾喜好運動項目,棒球,身體質量指數,整體,0.2,百分比
109,運動現況調查,民眾喜好運動項目,棒球,身體質量指數,過輕,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,身體質量指數,標準,0.1,百分比
109,運動現況調查,民眾喜好運動項目,棒球,身體質量指數,過重,0.6,百分比
109,運動現況調查,民眾喜好運動項目,棒球,身體質量指數,肥胖,0.2,百分比
109,運動現況調查,民眾喜好運動項目,網球,身體質量指數,整體,0.2,百分比
109,運動現況調查,民眾喜好運動項目,網球,身體質量指數,過輕,0,百分比
109,運動現況調查,民眾喜好運動項目,網球,身體質量指數,標準,0.2,百分比
109,運動現況調查,民眾喜好運動項目,網球,身體質量指數,過重,0.1,百分比
109,運動現況調查,民眾喜好運動項目,網球,身體質量指數,肥胖,0.4,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,整體,33.7,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,新北市,33.2,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,臺北市,33.8,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,桃園市,27.3,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,臺中市,31.9,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,臺南市,36.5,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,高雄市,32.5,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,基隆市,30.2,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,新竹縣,30.9,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,新竹市,35.4,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,苗栗縣,43.1,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,彰化縣,33.5,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,南投縣,34.4,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,雲林縣,34.4,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,嘉義縣,33.7,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,嘉義市,37.8,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,屏東縣,46,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,宜蘭縣,40.8,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,花蓮縣,28.9,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,臺東縣,35.1,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,澎湖縣,39.1,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,金門縣,33.5,百分比
109,運動現況調查,民眾喜好運動項目,散步/走路/健走,縣市,連江縣,67.6,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,整體,14.5,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,新北市,16.8,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,臺北市,9.7,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,桃園市,17.1,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,臺中市,16.6,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,臺南市,15,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,高雄市,14.7,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,基隆市,17.4,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,新竹縣,13.9,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,新竹市,9.2,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,苗栗縣,7.8,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,彰化縣,18.5,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,南投縣,6.7,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,雲林縣,11.2,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,嘉義縣,10.5,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,嘉義市,16.1,百分比
109,運動現況調查,民眾喜好運動項目,慢跑,縣市,屏東縣,15.6,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,臺北市,4.1,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,桃園市,3.4,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,臺中市,2,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,臺南市,4.8,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,高雄市,3.5,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,基隆市,3,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,新竹縣,3.4,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,新竹市,4,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,苗栗縣,2.1,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,彰化縣,2.5,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,南投縣,2.2,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,雲林縣,1.9,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,嘉義縣,3.8,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,嘉義市,3.8,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,屏東縣,3.2,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,宜蘭縣,3.6,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,花蓮縣,1.4,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,臺東縣,3,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,澎湖縣,0.9,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,金門縣,1.4,百分比
109,運動現況調查,民眾喜好運動項目,伸展操/瑜珈,縣市,連江縣,0,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,整體,0.8,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,新北市,1.6,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,臺北市,2.6,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,桃園市,0,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,臺中市,0.3,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,臺南市,0,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,高雄市,0.3,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,基隆市,0,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,新竹縣,0,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,新竹市,0.6,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,苗栗縣,2.3,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,彰化縣,0,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,南投縣,0.2,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,雲林縣,1.2,百分比
109,運動現況調查,民眾喜好運動項目,有氧舞蹈,縣市,嘉義縣,0.7,百分比
109,運動現況調查,民眾喜好運動項目,桌球,年齡,60-64歲,0.1,百分比
109,運動現況調查,民眾喜好運動項目,桌球,年齡,65-69歲,0,百分比
109,運動現況調查,民眾喜好運動項目,桌球,年齡,70歲及以上,0.4,百分比
109,運動現況調查,民眾喜好運動項目,桌球,年齡,拒答,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,整體,0.2,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,13-17歲,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,18-24歲,0.7,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,25-29歲,0.3,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,30-34歲,1.1,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,35-39歲,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,40-44歲,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,45-49歲,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,50-54歲,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,55-59歲,0.1,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,60-64歲,0.5,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,65-69歲,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,70歲及以上,0,百分比
109,運動現況調查,民眾喜好運動項目,排球,年齡,拒答,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,年齡,整體,0.2,百分比
109,運動現況調查,民眾喜好運動項目,棒球,年齡,13-17歲,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,年齡,18-24歲,0.3,百分比
109,運動現況調查,民眾喜好運動項目,棒球,年齡,25-29歲,0.4,百分比
109,運動現況調查,民眾喜好運動項目,棒球,年齡,30-34歲,0.1,百分比
109,運動現況調查,民眾喜好運動項目,棒球,年齡,35-39歲,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,年齡,40-44歲,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,年齡,45-49歲,0,百分比
109,運動現況調查,民眾喜好運動項目,棒球,年齡,50-54歲,0.9,百分比
109,運動現況調查,民眾喜好運動項目,棒球,年齡,55-59歲,0.9,百分比
109,運動現況調查,民眾喜好運動項目,棒球,年齡,60-64歲,0,百分比
